index,country,name,hosp_type,disease_type,year_rate,rate,AAPC,direction,popup,appendixF_popup
54,United Kingdom,United Kingdom,not,IBD,2015,41.6,1.1,increase,"<p style=""""font-size: 125%"""">Data on IBD hospitalizations come from the OECD (<a href='https://www.sciencedirect.com/science/article/abs/pii/S2468125319300135?via%3Dihub' target='_blank'>King 2019</a>), which provides rates for unspecified discharge types spanning 2000â€“2015. In 2015, the hospitalization rate for IBD was 41.6/100,000, which had significantly increased from 34.6/100,000 in 2000 (AAPC: 1.10; 95% CI: 0.90, 1.29).</p>",
55,United States,United States,prim,IBD,2016,29.71,0.68,increase,"<p style=""""font-size: 125%"""">Data on IBD hospitalizations come from 19 studies using estimated national data and spanning 1998â€“2018. A subset of these studies provide enough data for temporal analysis. A recent study showed the primary discharge rate to increase significantly from 27.05/100,000 in 2005, to 29.71/100,000 in 2016 (AAPC: 0.68; 95% CI: 0.06, 1.31) (<a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8011653/' target='_blank'>Ma 2020</a>).<br><br>

See also: <a href=""""http://dx.doi.org/10.1002/ibd.20250"""" target=""""_blank"""">Nguyen 2007</a>, <a href=""""https://dx.doi.org/10.1111/j.1572-0241.2008.02054.x"""" target=""""_blank"""">Ananthakrishnan 2008</a>, <a href=""""http://dx.doi.org/10.1007/s10620-010-1433-9"""" target=""""_blank"""">Ananthakrishnan 2011a</a>, <a href=""""https://dx.doi.org/10.1016/j.crohns.2011.01.011"""" target=""""_blank"""">Sridhar 2011</a>, <a href=""""https://dx.doi.org/10.1097/MIB.0000000000000899"""" target=""""_blank"""">Barnes 2016</a>, <a href="""""""" target=""""_blank"""">Marchioni 2017</a>, <a href=""""https://dx.doi.org/10.1093/ibd/izy086"""" target=""""_blank"""">Barber 2018</a>, <a href=""""https://dx.doi.org/10.1093/ecco-jcc/jjy062"""" target=""""_blank"""">Cohen-Mekelburg 2018</a>, <a href=""""https://dx.doi.org/10.1111/ijd.13932"""" target=""""_blank"""">Ramos-Rodriguez 2018</a>, <a  href=""""https://dx.doi.org/10.1097/MEG.0000000000001185"""" target=""""_blank"""">Rezapour 2018</a>, <a href=""""https://dx.doi.org/10.1093/ibd/izz089"""" target=""""_blank"""">Dalal 2019</a>,  <a href=""""https://dx.doi.org/10.1097/MCG.0000000000001204"""" target=""""_blank"""">Galoosian 2009</a>, <a href=""""https://dx.doi.org/10.5217/ir.2021.00046"""" target=""""_blank"""">Dahiya 2021</a>, <a href=""""https://dx.doi.org/10.1080/20016689.2021.1912924"""" target=""""_blank"""">Ding 2021</a></p>",
55,United States,United States,prim,CD,2018,17.3,-0.76,decrease,"<p style=""""font-size: 125%"""">Data on CD hospitalizations come from 29 studies using estimated national data and spanning 1990â€“2018. A subset of these studies provide enough data for temporal analysis. According to <a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8366929/' target='_blank'>Kichloo 2021</a>, in 2018, the CD hospitalization rate for primary discharges was 17.30/100,000, which had significantly decreased from 19.24/100,000 in 2008 (AAPC: -0.76; 95% CI: -1.23, -0.30).<br><br>

See also: <a href=""""https://dx.doi.org/10.1016/j.cgh.2007.01.015"""" target=""""_blank"""">Bewtra 2007</a>, <a href=""""http://dx.doi.org/10.1002/ibd.20250"""" target=""""_blank"""">Nguyen 2007</a>, <a href='https://link.springer.com/article/10.1007/s10620-009-0973-3' target='_blank'>Sonnenberg 2009</a>, <a href=""""https://dx.doi.org/10.1038/ajg.2009.581"""" target=""""_blank"""">Nguyen 2010</a>, <a href=""""http://dx.doi.org/10.1007/s11605-010-1396-3"""" target=""""_blank"""">Ananthakrishnan 2011a</a>, <a href=""""https://dx.doi.org/10.1016/j.crohns.2011.01.011"""" target=""""_blank"""">Sridhar 2011</a>,  <a href=""""http://dx.doi.org/10.1097/DCR.0000000000000236"""" target=""""_blank"""">Geltzeiler 2014</a>, <a href=""""https://dx.doi.org/10.1097/MIB.0000000000000899"""" target=""""_blank"""">Barnes 2016</a>, <a href=""""https://dx.doi.org/10.1371/journal.pone.0161523"""" target=""""_blank"""">Stein 2016</a>, <a href=""""https://dx.doi.org/10.1097/MIB.0000000000000963"""" target=""""_blank"""">Wadhwa 2016</a>, <a href=""""https://dx.doi.org/10.1016/j.cgh.2017.06.040"""" target=""""_blank"""">Limketkai 2017</a>, <a href="""""""" target=""""_blank"""">Malarcher 2017</a>, <a href="""""""" target=""""_blank"""">Marchioni 2017</a>, <a href=""""https://dx.doi.org/10.20524/aog.2017.0168"""" target=""""_blank"""">Sharma 2017</a>, <a href=""""https://dx.doi.org/10.1093/ibd/izy086"""" target=""""_blank"""">Barber 2018</a>, <a href=""""https://dx.doi.org/10.1111/ijd.13932"""" target=""""_blank"""">Ramos-Rodriguez 2018</a>, <a href=""""https://dx.doi.org/10.1097/MEG.0000000000001185"""" target=""""_blank"""">Rezapour 2018</a>, <a href=""""https://dx.doi.org/10.1093/ibd/izz089"""" target=""""_blank"""">Dalal 2019</a>,  <a href=""""https://dx.doi.org/10.1097/MCG.0000000000001204"""" target=""""_blank"""">Galoosian 2009</a>, <a href=""""https://dx.doi.org/10.1007/s40258-018-0432-4"""" target=""""_blank"""">Xu 2019</a>, <a href=""""https://dx.doi.org/10.1053/j.gastro.2018.08.063"""" target=""""_blank"""">Peery 2019</a>, <a href=""""https://dx.doi.org/10.1097/MCG.0000000000001458"""" target=""""_blank"""">Schwartz 2020</a></p>",
55,United States,United States,prim,UC,2018,10.87,-0.04,stable,"<p style=""""font-size: 125%"""">Data on UC hospitalizations come from 25 studies using estimated national data and spanning 1990â€“2018. A subset of these studies provide enough data for temporal analysis. According to <a href='https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8366929/' target='_blank'>Kichloo 2021</a>, the UC hospitalization rate for primary discharges was 11.23/100,000 in 2008, which decreased non-significantly to 10.87/100,000 in 2018 (AAPC: -0.04; 95% CI: -0.52, 0.45).<br><br>

See also: <a href=""""https://dx.doi.org/10.1016/j.cgh.2007.01.015"""" target=""""_blank"""">Bewtra 2007</a>, <a href=""""http://dx.doi.org/10.1002/ibd.20250"""" target=""""_blank"""">Nguyen 2007</a>, <a href='https://link.springer.com/article/10.1007/s10620-009-0973-3' target='_blank'>Sonnenberg 2009</a>, <a href=""""http://dx.doi.org/10.1002/ibd.21225"""" target=""""_blank"""">Ananthakrishnan 2010</a>,  <a href=""""https://dx.doi.org/10.1038/ajg.2009.581"""" target=""""_blank"""">Nguyen 2010</a>, <a href=""""http://dx.doi.org/10.1007/s11605-010-1396-3"""" target=""""_blank"""">Ananthakrishnan 2011a</a>, <a href=""""https://dx.doi.org/10.1016/j.crohns.2011.01.011"""" target=""""_blank"""">Sridhar 2011</a>,  <a href=""""http://dx.doi.org/10.1097/DCR.0000000000000236"""" target=""""_blank"""">Geltzeiler 2014</a>, <a href=""""https://dx.doi.org/10.1097/MIB.0000000000000899"""" target=""""_blank"""">Barnes 2016</a>, <a href="""""""" target=""""_blank"""">Marchioni 2017</a>, <a href=""""http://dx.doi.org/10.1097/MIB.0000000000001041"""" target=""""_blank"""">Poojary 2017</a>, <a href=""""https://dx.doi.org/10.20524/aog.2017.0168"""" target=""""_blank"""">Sharma 2017</a>, <a href=""""https://dx.doi.org/10.1093/ibd/izy086"""" target=""""_blank"""">Barber 2018</a>, <a href=""""https://dx.doi.org/10.1111/ijd.13932"""" target=""""_blank"""">Ramos-Rodriguez 2018</a>, <a href=""""https://dx.doi.org/10.1097/MEG.0000000000001185"""" target=""""_blank"""">Rezapour 2018</a>, <a href=""""https://dx.doi.org/10.1093/ibd/izz089"""" target=""""_blank"""">Dalal 2019</a>,  <a href=""""https://dx.doi.org/10.1097/MCG.0000000000001204"""" target=""""_blank"""">Galoosian 2009</a>, <a href=""""https://dx.doi.org/10.1053/j.gastro.2018.08.063"""" target=""""_blank"""">Peery 2019</a>, <a href=""""https://dx.doi.org/10.1097/MCG.0000000000001458"""" target=""""_blank"""">Schwartz 2020</a>, <a href=""""https://dx.doi.org/10.1007/s10620-020-06474-1"""" target=""""_blank"""">Olaiya 2021</a></p>",
55,United States,United States,all,IBD,2006,76.24,4.39,increase,"<p style=""""font-size: 125%"""">Data on IBD hospitalizations come from 19 studies using estimated national data and spanning 1998â€“2018. A subset of these studies provide enough data for temporal analysis. According to <a href='https://link.springer.com/article/10.1007/s10620-009-0973-3' target='_blank'>Sonnenberg 2009</a>, all cause hospitalization for IBD signifcantly increased from 59.47/100,000 in 2000, to 76.24/100,000 in 2006 (AAPC: 4.39; 95% CI: 3.48, 5.31).<br><br>

See also: <a href=""""http://dx.doi.org/10.1002/ibd.20250"""" target=""""_blank"""">Nguyen 2007</a>, <a href=""""https://dx.doi.org/10.1111/j.1572-0241.2008.02054.x"""" target=""""_blank"""">Ananthakrishnan 2008</a>, <a href=""""http://dx.doi.org/10.1007/s10620-010-1433-9"""" target=""""_blank"""">Ananthakrishnan 2011a</a>, <a href=""""https://dx.doi.org/10.1016/j.crohns.2011.01.011"""" target=""""_blank"""">Sridhar 2011</a>, <a href=""""https://dx.doi.org/10.1097/MIB.0000000000000899"""" target=""""_blank"""">Barnes 2016</a>, <a href="""""""" target=""""_blank"""">Marchioni 2017</a>, <a href=""""https://dx.doi.org/10.1093/ibd/izy086"""" target=""""_blank"""">Barber 2018</a>, <a href=""""https://dx.doi.org/10.1093/ecco-jcc/jjy062"""" target=""""_blank"""">Cohen-Mekelburg 2018</a>, <a href=""""https://dx.doi.org/10.1111/ijd.13932"""" target=""""_blank"""">Ramos-Rodriguez 2018</a>, <a  href=""""https://dx.doi.org/10.1097/MEG.0000000000001185"""" target=""""_blank"""">Rezapour 2018</a>, <a href=""""https://dx.doi.org/10.1093/ibd/izz089"""" target=""""_blank"""">Dalal 2019</a>,  <a href=""""https://dx.doi.org/10.1097/MCG.0000000000001204"""" target=""""_blank"""">Galoosian 2009</a>, <a href=""""https://dx.doi.org/10.5217/ir.2021.00046"""" target=""""_blank"""">Dahiya 2021</a>, <a href=""""https://dx.doi.org/10.1080/20016689.2021.1912924"""" target=""""_blank"""">Ding 2021</a></p>",
55,United States,United States,all,CD,2017,44.11,1.12,increase,"<p style=""""font-size: 125%"""">Data on CD hospitalizations come from 29 studies using estimated national data and spanning 1990â€“2018. A subset of these studies provide enough data for temporal analysis. <a href='https://link.springer.com/article/10.1007/s11605-020-04832-y' target='_blank'>Lowe et al. 2021</a> found that the hospitalization rate for all-cause discharges was 44.11/100,000 in 2017, which had significantly increased from 40.82/100,000 in 2010 (AAPC: 1.12; 95% CI: 0.93, 1.31).<br><br>

See also: <a href=""""https://dx.doi.org/10.1016/j.cgh.2007.01.015"""" target=""""_blank"""">Bewtra 2007</a>, <a href=""""http://dx.doi.org/10.1002/ibd.20250"""" target=""""_blank"""">Nguyen 2007</a>, <a href='https://link.springer.com/article/10.1007/s10620-009-0973-3' target='_blank'>Sonnenberg 2009</a>, <a href=""""https://dx.doi.org/10.1038/ajg.2009.581"""" target=""""_blank"""">Nguyen 2010</a>, <a href=""""http://dx.doi.org/10.1007/s11605-010-1396-3"""" target=""""_blank"""">Ananthakrishnan 2011a</a>, <a href=""""https://dx.doi.org/10.1016/j.crohns.2011.01.011"""" target=""""_blank"""">Sridhar 2011</a>,  <a href=""""http://dx.doi.org/10.1097/DCR.0000000000000236"""" target=""""_blank"""">Geltzeiler 2014</a>, <a href=""""https://dx.doi.org/10.1097/MIB.0000000000000899"""" target=""""_blank"""">Barnes 2016</a>, <a href=""""https://dx.doi.org/10.1371/journal.pone.0161523"""" target=""""_blank"""">Stein 2016</a>, <a href=""""https://dx.doi.org/10.1097/MIB.0000000000000963"""" target=""""_blank"""">Wadhwa 2016</a>, <a href=""""https://dx.doi.org/10.1016/j.cgh.2017.06.040"""" target=""""_blank"""">Limketkai 2017</a>, <a href="""""""" target=""""_blank"""">Malarcher 2017</a>, <a href="""""""" target=""""_blank"""">Marchioni 2017</a>, <a href=""""https://dx.doi.org/10.20524/aog.2017.0168"""" target=""""_blank"""">Sharma 2017</a>, <a href=""""https://dx.doi.org/10.1093/ibd/izy086"""" target=""""_blank"""">Barber 2018</a>, <a href=""""https://dx.doi.org/10.1111/ijd.13932"""" target=""""_blank"""">Ramos-Rodriguez 2018</a>, <a href=""""https://dx.doi.org/10.1097/MEG.0000000000001185"""" target=""""_blank"""">Rezapour 2018</a>, <a href=""""https://dx.doi.org/10.1093/ibd/izz089"""" target=""""_blank"""">Dalal 2019</a>,  <a href=""""https://dx.doi.org/10.1097/MCG.0000000000001204"""" target=""""_blank"""">Galoosian 2009</a>, <a href=""""https://dx.doi.org/10.1007/s40258-018-0432-4"""" target=""""_blank"""">Xu 2019</a>, <a href=""""https://dx.doi.org/10.1053/j.gastro.2018.08.063"""" target=""""_blank"""">Peery 2019</a>, <a href=""""https://dx.doi.org/10.1097/MCG.0000000000001458"""" target=""""_blank"""">Schwartz 2020</a></p>",
55,United States,United States,all,UC,2017,30.12,2.05,increase,"<p style=""""font-size: 125%"""">Data on UC hospitalizations come from 25 studies using estimated national data and spanning 1990â€“2018. A subset of these studies provide enough data for temporal analysis. <a href='https://link.springer.com/article/10.1007/s11605-020-04832-y' target='_blank'>Lowe 2021</a> found that the hospitalization rate for secondary discharges was 30.12/100,000 in 2017, which had significantly increased from 26.63/100,000 in 2010 (AAPC: 2.05; 95% CI: 1.69, 2.42).<br><br>

See also: <a href=""""https://dx.doi.org/10.1016/j.cgh.2007.01.015"""" target=""""_blank"""">Bewtra 2007</a>, <a href=""""http://dx.doi.org/10.1002/ibd.20250"""" target=""""_blank"""">Nguyen 2007</a>, <a href='https://link.springer.com/article/10.1007/s10620-009-0973-3' target='_blank'>Sonnenberg 2009</a>, <a href=""""http://dx.doi.org/10.1002/ibd.21225"""" target=""""_blank"""">Ananthakrishnan 2010</a>,  <a href=""""https://dx.doi.org/10.1038/ajg.2009.581"""" target=""""_blank"""">Nguyen 2010</a>, <a href=""""http://dx.doi.org/10.1007/s11605-010-1396-3"""" target=""""_blank"""">Ananthakrishnan 2011a</a>, <a href=""""https://dx.doi.org/10.1016/j.crohns.2011.01.011"""" target=""""_blank"""">Sridhar 2011</a>,  <a href=""""http://dx.doi.org/10.1097/DCR.0000000000000236"""" target=""""_blank"""">Geltzeiler 2014</a>, <a href=""""https://dx.doi.org/10.1097/MIB.0000000000000899"""" target=""""_blank"""">Barnes 2016</a>, <a href="""""""" target=""""_blank"""">Marchioni 2017</a>, <a href=""""http://dx.doi.org/10.1097/MIB.0000000000001041"""" target=""""_blank"""">Poojary 2017</a>, <a href=""""https://dx.doi.org/10.20524/aog.2017.0168"""" target=""""_blank"""">Sharma 2017</a>, <a href=""""https://dx.doi.org/10.1093/ibd/izy086"""" target=""""_blank"""">Barber 2018</a>, <a href=""""https://dx.doi.org/10.1111/ijd.13932"""" target=""""_blank"""">Ramos-Rodriguez 2018</a>, <a href=""""https://dx.doi.org/10.1097/MEG.0000000000001185"""" target=""""_blank"""">Rezapour 2018</a>, <a href=""""https://dx.doi.org/10.1093/ibd/izz089"""" target=""""_blank"""">Dalal 2019</a>,  <a href=""""https://dx.doi.org/10.1097/MCG.0000000000001204"""" target=""""_blank"""">Galoosian 2009</a>, <a href=""""https://dx.doi.org/10.1053/j.gastro.2018.08.063"""" target=""""_blank"""">Peery 2019</a>, <a href=""""https://dx.doi.org/10.1097/MCG.0000000000001458"""" target=""""_blank"""">Schwartz 2020</a>, <a href=""""https://dx.doi.org/10.1007/s10620-020-06474-1"""" target=""""_blank"""">Olaiya 2021</a></p>",
55,United States,United States,not,IBD,2010,33.9,2.4,increase,"<p style=""""font-size: 125%"""">Data on IBD hospitalizations come from 19 studies using estimated national data and spanning 1998â€“2018. A subset of these studies provide enough data for temporal analysis. The OECD (<a href='https://www.sciencedirect.com/science/article/abs/pii/S2468125319300135?via%3Dihub' target='_blank'>King 2019</a>) provides rates for unspecified discharges spanning 2000â€“2010. In 2010, the hospitalization rate for IBD was 33.9/100,000, which had significantly increased from 25.8/100,000 in 2000 (AAPC: 2.40; 95% CI: 1.50, 3.31). <br><br>

See also: <a href=""""http://dx.doi.org/10.1002/ibd.20250"""" target=""""_blank"""">Nguyen 2007</a>, <a href=""""https://dx.doi.org/10.1111/j.1572-0241.2008.02054.x"""" target=""""_blank"""">Ananthakrishnan 2008</a>, <a href=""""http://dx.doi.org/10.1007/s10620-010-1433-9"""" target=""""_blank"""">Ananthakrishnan 2011a</a>, <a href=""""https://dx.doi.org/10.1016/j.crohns.2011.01.011"""" target=""""_blank"""">Sridhar 2011</a>, <a href=""""https://dx.doi.org/10.1097/MIB.0000000000000899"""" target=""""_blank"""">Barnes 2016</a>, <a href="""""""" target=""""_blank"""">Marchioni 2017</a>, <a href=""""https://dx.doi.org/10.1093/ibd/izy086"""" target=""""_blank"""">Barber 2018</a>, <a href=""""https://dx.doi.org/10.1093/ecco-jcc/jjy062"""" target=""""_blank"""">Cohen-Mekelburg 2018</a>, <a href=""""https://dx.doi.org/10.1111/ijd.13932"""" target=""""_blank"""">Ramos-Rodriguez 2018</a>, <a  href=""""https://dx.doi.org/10.1097/MEG.0000000000001185"""" target=""""_blank"""">Rezapour 2018</a>, <a href=""""https://dx.doi.org/10.1093/ibd/izz089"""" target=""""_blank"""">Dalal 2019</a>,  <a href=""""https://dx.doi.org/10.1097/MCG.0000000000001204"""" target=""""_blank"""">Galoosian 2009</a>, <a href=""""https://dx.doi.org/10.5217/ir.2021.00046"""" target=""""_blank"""">Dahiya 2021</a>, <a href=""""https://dx.doi.org/10.1080/20016689.2021.1912924"""" target=""""_blank"""">Ding 2021</a></p>",
55,United States,United States,not,CD,2017,61.21,,,"<p style=""""font-size: 125%"""">Data on CD hospitalizations come from 29 studies using estimated national data and spanning 1990â€“2018. In 2017, the hospitalization rate for unspecified discharges was 61.21/100,000 <a href=""""https://dx.doi.org/10.7759/cureus.16566"""" target=""""_blank"""">Uwagbale et al. 2021</a>, though insufficient data were available to complete a temporal analysis.<br><br>

See also: <a href=""""https://dx.doi.org/10.1016/j.cgh.2007.01.015"""" target=""""_blank"""">Bewtra 2007</a>, <a href=""""http://dx.doi.org/10.1002/ibd.20250"""" target=""""_blank"""">Nguyen 2007</a>, <a href='https://link.springer.com/article/10.1007/s10620-009-0973-3' target='_blank'>Sonnenberg 2009</a>, <a href=""""https://dx.doi.org/10.1038/ajg.2009.581"""" target=""""_blank"""">Nguyen 2010</a>, <a href=""""http://dx.doi.org/10.1007/s11605-010-1396-3"""" target=""""_blank"""">Ananthakrishnan 2011a</a>, <a href=""""https://dx.doi.org/10.1016/j.crohns.2011.01.011"""" target=""""_blank"""">Sridhar 2011</a>,  <a href=""""http://dx.doi.org/10.1097/DCR.0000000000000236"""" target=""""_blank"""">Geltzeiler 2014</a>, <a href=""""https://dx.doi.org/10.1097/MIB.0000000000000899"""" target=""""_blank"""">Barnes 2016</a>, <a href=""""https://dx.doi.org/10.1371/journal.pone.0161523"""" target=""""_blank"""">Stein 2016</a>, <a href=""""https://dx.doi.org/10.1097/MIB.0000000000000963"""" target=""""_blank"""">Wadhwa 2016</a>, <a href=""""https://dx.doi.org/10.1016/j.cgh.2017.06.040"""" target=""""_blank"""">Limketkai 2017</a>, <a href="""""""" target=""""_blank"""">Malarcher 2017</a>, <a href="""""""" target=""""_blank"""">Marchioni 2017</a>, <a href=""""https://dx.doi.org/10.20524/aog.2017.0168"""" target=""""_blank"""">Sharma 2017</a>, <a href=""""https://dx.doi.org/10.1093/ibd/izy086"""" target=""""_blank"""">Barber 2018</a>, <a href=""""https://dx.doi.org/10.1111/ijd.13932"""" target=""""_blank"""">Ramos-Rodriguez 2018</a>, <a href=""""https://dx.doi.org/10.1097/MEG.0000000000001185"""" target=""""_blank"""">Rezapour 2018</a>, <a href=""""https://dx.doi.org/10.1093/ibd/izz089"""" target=""""_blank"""">Dalal 2019</a>,  <a href=""""https://dx.doi.org/10.1097/MCG.0000000000001204"""" target=""""_blank"""">Galoosian 2009</a>, <a href=""""https://dx.doi.org/10.1007/s40258-018-0432-4"""" target=""""_blank"""">Xu 2019</a>, <a href=""""https://dx.doi.org/10.1053/j.gastro.2018.08.063"""" target=""""_blank"""">Peery 2019</a>, <a href=""""https://dx.doi.org/10.1097/MCG.0000000000001458"""" target=""""_blank"""">Schwartz 2020</a></p>",
56,United States,California,prim,IBD,2014,20.51,-0.45,stable,"<p style=""""font-size: 125%"""">Data on IBD hospitalizations come from <a href='https://journals.lww.com/jcge/Fulltext/2020/03000/Recent_Trends_and_the_Impact_of_the_Affordable.2.aspx' target='_blank'>Barakat 2020</a> reporting for primary discharges with 20.77/100,000 in 2009 and 20.51 in 2014 (AAPC: -0.45; 95% CI: -0.98, 0.08).</p>",
57,United States,Florida,prim,IBD,2014,43.36,2.32,increase,"<p style=""""font-size: 125%"""">Data on IBD hospitalizations come from <a href='https://journals.lww.com/jcge/Fulltext/2020/03000/Recent_Trends_and_the_Impact_of_the_Affordable.2.aspx' target='_blank'>Barakat 2020</a> reporting for primary discharges with 38.59/100,000 in 2009 and 43.36/100,000 in 2014 (AAPC:2.32; 95% CI: 1.43, 3.28).</p>",
57,United States,Florida,all,IBD,2011,41.55,,,"<p style=""""font-size: 125%"""">In 2011, the IBD hospitalization rate for secondary discharges was estimated at 41.55/100,000 (<a href='https://pubmed.ncbi.nlm.nih.gov/31622063/' target='_blank'>Cohen-Mekelburg 2019</a>).</p>",
58,United States,New York,all,IBD,2011,36.31,,,"<p style=""""font-size: 125%"""">Insufficient data were available to conduct a temporal analysis on hospitalization rates for IBD; however, in 2011, the IBD hospitalization rate for secondary discharges was estimated at 36.31/100,000 (<a href='https://pubmed.ncbi.nlm.nih.gov/31622063/' target='_blank'>Cohen-Mekelburg 2019</a>).</p>",
59,United States,Maryland,all,IBD,2002,87.15,,,"<p style=""""font-size: 125%"""">Insufficient data were available to conduct a temporal analysis on hospitalization rates for IBD; however, in 2002, the IBD hospitalization rate for secondary discharges was estimated at 87.15/100,000 (<a href='https://link.springer.com/article/10.1007/s10620-014-3169-4' target='_blank'>Hourigan 2014</a>).</p>",
60,United States,Wisconsin,all,IBD,2008,110.5,,,"<p style=""""font-size: 125%"""">Insufficient data were available to conduct a temporal analysis on hospitalization rates for IBD; however, in 2002, the IBD hospitalization rate for secondary discharges was estimated at 97.37/100,000 (<a href='https://academic.oup.com/ibdjournal/article/17/5/1138/4636198' target='_blank'>Ananthakrishnan 2011d</a>). In 2008, the IBD hospitalization rate for secondary discharges was estimated at 110.5/100,000 (<a href='https://academic.oup.com/ibdjournal/article/17/2/633/4636162' target='_blank'>Ananthakrishnan 2011c</a>).</p>",
60,United States,Wisconsin,all,CD,2008,74.5,,,"<p style=""""font-size: 125%""""> Insufficient data were available to conduct a temporal analysis on hospitalization rates; however, in 2002, CD hospitalization was 63.51/100,000 (<a href='https://academic.oup.com/ibdjournal/article/17/5/1138/4636198' target='_blank'>Ananthakrishnan 2011d</a>). In 2008, CD hospitalization was 74.5/100,000 (<a href='https://academic.oup.com/ibdjournal/article/17/2/633/4636162' target='_blank'>Ananthakrishnan 2011c</a>).</p>",
60,United States,Wisconsin,all,UC,2008,39,,,"<p style=""""font-size: 125%""""> Insufficient data were available to conduct a temporal analysis on hospitalization rates; however, in 2002, UC hospitalization was 33.87/100,000 (<a href='https://academic.oup.com/ibdjournal/article/17/5/1138/4636198' target='_blank'>Ananthakrishnan 2011d</a>). In 2008, UC hospitalization was 39.0/100,000 (<a href='https://academic.oup.com/ibdjournal/article/17/2/633/4636162' target='_blank'>Ananthakrishnan 2011c</a>).</p>",