country,model,IRR,IRR_lb,IRR_ub,p_value,average_population,average_rate,last_reported_rate
Australia,Negative Binomial,0.972638092,0.92710631,1.020406017,0.256720958,22262772.74,156.4409091,154.6
Austria,Negative Binomial,0.908337809,0.886452782,0.930763141,1.10733300766851e-14,8472486.689,173.0695652,131.4
Belgium,Poisson,1.005007994,0.989655635,1.020598511,0.524744456,11096302.71,143.9352941,139.5
Bulgaria,Poisson,0.822794167,0.799965124,0.846274695,4.81476952180395e-42,7375379.793,121.2652174,121.27
Canada,Poisson,0.976770824,0.967435084,0.986196654,1.61290568316994e-06,35537554.28,106.2411765,104.6
Costa Rica,Poisson,0.950387813,0.92797229,0.973344792,2.93362190243798e-05,4605492.846,139.7875,135.8
Croatia,Negative Binomial,0.950942188,0.885852965,1.020813928,0.16436722,4109555.963,118.1909091,118.19
Cyprus,Negative Binomial,1.153185869,0.449323987,2.959640898,0.766935143,838082.1805,64.55625,64.56
Czechia,Negative Binomial,0.987869357,0.933018855,1.045944421,0.675394589,10514346.45,147.5222222,134.7
Denmark,Poisson,0.998060241,0.975730062,1.020901459,0.866438192,5585580.799,118.8391304,121.6
Estonia,Poisson,0.989940461,0.947892899,1.03385321,0.647981784,1333439.579,168.515,151.7
Finland,Negative Binomial,1.070086976,1.030961899,1.110696853,0.000364517,5377058.009,131.7043478,136.1
France,Poisson,0.979863617,0.972696504,0.987083539,5.60562137640991e-08,64906063.75,138.9782609,103
Germany,Negative Binomial,0.924046979,0.898048534,0.950798076,5.79312105165742e-08,82111284.43,162.1166667,127.6
Hungary,Negative Binomial,0.879863355,0.848150736,0.912761719,8.26787349107829e-12,10953533.69,109.3444444,70.7
Iceland,Poisson,0.934160105,0.860211566,1.01446567,0.105519049,9900579.97,95.04210526,89.7
Ireland,Negative Binomial,0.93755035,0.89029087,0.987318513,0.014540144,344585.4023,154.575,151
Israel,Negative Binomial,1.005313614,0.976010643,1.035496354,0.725485316,4495998.51,149.2,126.4
Italy,Negative Binomial,0.840113962,0.802678463,0.879295385,6.83283158973216e-14,7827705.327,115.0521739,102.4
Lithuania,Negative Binomial,0.867280414,0.825133532,0.911580111,2.11534536923528e-08,59154157.25,90.34090909,59.9
Luxembourg,Poisson,0.966209367,0.89199789,1.04659501,0.399196046,2990055.975,183.25,159.2
Malta,Negative Binomial,0.826075631,0.716556818,0.952333342,0.008462255,491209.1922,128.5826087,101.5
Mexico,Negative Binomial,0.747651372,0.684009696,0.817214402,1.48329589579144e-10,467147.2633,107.02,107.02
Netherlands,Negative Binomial,1.043062732,1.017396084,1.069376892,0.000910714,114923918.4,86.62173913,87.6
New Zealand,Poisson,1.007891922,0.977927252,1.038774739,0.609699374,16859697.02,95.475,101.1
North Macedonia,Negative Binomial,0.939579369,0.802692691,1.099809928,0.437884696,4386273.461,131.1809524,125.9
Norway,Poisson,1.078138532,1.054029805,1.102798695,7.00774759722517e-11,2058560.879,82.08333333,82.08
Poland,Negative Binomial,0.901120019,0.790318278,1.02745604,0.119857574,5301849.691,135.5,140.7
Portugal,Poisson,0.871924232,0.853236434,0.891021336,2.66348034541549e-35,38322238.36,74.75,71.3
Romania,Negative Binomial,0.622679553,0.586609544,0.660967469,1.36386367430838e-54,10445138.44,101.0833333,56.8
Serbia,Negative Binomial,0.88850616,0.849454237,0.929353415,2.53798735138571e-07,19718332.26,173.0714286,173.07
Slovak Republic,Negative Binomial,0.916327399,0.877353202,0.957032926,8.13301277507411e-05,5410213.032,128.1571429,88.9
Slovenia,Poisson,0.961844372,0.924650271,1.000534608,0.053182337,2057549.589,118.4277778,119.7
South Korea,Negative Binomial,0.97134753,0.946421374,0.996930172,0.028393541,51000930.76,175.6538462,148.6
Spain,Negative Binomial,0.988762502,0.927590251,1.053968909,0.728716536,46160116.07,108.9315789,113.1
Sweden,Poisson,1.008375751,0.991214556,1.025834063,0.340893249,9716117.348,124.7833333,119.3
Switzerland,Poisson,1.021920793,1.005292973,1.038823643,0.009577668,8040198.017,169.45625,165.6
Turkey,Negative Binomial,0.881057254,0.846894325,0.916598282,3.47110838812191e-10,83831369.42,136.4666667,123.3
United Kingdom,Negative Binomial,0.920116803,0.817090718,1.036133335,0.169399992,63198116.95,86.21304348,68.9